Actor/EditorSuffix/GuideVisualQuadSplat,(미사용) /// (Deprecated)=0
Actor/Name/PlacementSound,배치 소리 /// Placement Sound=318
Actor/Name/PointBlockPathing,지점 이동 경로 차단 /// PointBlockPathing=319
Actor/Name/PointBlockPathingEditor,지점 이동 경로 차단 편집기 /// PointBlockPathingEditor=320
Actor/Name/PointBlockPathingName,지점 이동 경로 차단 이름 /// PointBlockPathingName=321
Actor/Name/PointBlockPathingNameSite,지점 이동 경로 차단 이름 자리 /// PointBlockPathingNameSite=322
Actor/Name/PointNoFlyZone,지점 비행 금지 구역 /// Point No Fly Zone=323
Actor/Name/PointNoFlyZoneEditor,지점 비행 금지 구역 편집기 /// Point No Fly Zone Editor=324
Actor/Name/PointNoFlyZoneName,지점 비행 금지 구역 이름 /// Point No Fly Zone Name=325
Actor/Name/PointNormal,지점 보통 /// PointNormal=326
Actor/Name/PointNormalEditor,지점 보통 편집기 /// PointNormalEditor=327
Actor/Name/PointNormalName,지점 보통 이름 /// PointNormalName=328
Actor/Name/PointNormalNameSite,지점 보통 이름 자리 /// PointNormalNameSite=329
Actor/Name/PointSoundEmitter,지점 소리 방출기 /// PointSoundEmitter=330
Actor/Name/PointSoundEmitterEditor,지점 소리 방출기 편집기 /// PointSoundEmitterEditor=331
Actor/Name/PointSoundEmitterName,지점 소리 방출기 이름 /// PointSoundEmitterName=332
Actor/Name/PointSoundEmitterNameSite,지점 일반 소리 방출기 이름 자리 /// PointSoundEmitterNameSite=333
Actor/Name/PointSoundEmitterRange,지점 소리 방출기 범위 /// Point Sound Emitter Range=334
Actor/Name/PointStartLoc,지점 시작 장소 /// PointStartLoc=335
Actor/Name/PointStartLocEditor,지점 시작 장소 편집기 /// PointStartLocEditor=336
Actor/Name/PointStartLocName,지점 시작 장소 이름 /// PointStartLocName=337
Actor/Name/PointStartLocNameSite,지점 시작 장소 이름 자리 /// PointStartLocNameSite=338
Actor/Name/PointStartLocUnit,지점 시작 장소 유닛 /// PointStartLocUnit=339
Actor/Name/PointStartLocUnitSite,지점 시작 장소 유닛 자리 /// PointStartLocUnitSite=340
Actor/Name/PointThreeD,지점 3D /// PointThreeD=341
Actor/Name/PointThreeDEditor,지점 3D 편집기 /// PointThreeDEditor=342
Actor/Name/PointThreeDName,지점 3D 이름 /// PointThreeDName=343
Actor/Name/PointThreeDNameSite,지점 3D 이름 자리 /// PointThreeDNameSite=344
Actor/Name/PortraitActor,초상화 행위자 /// Portrait Actor=345
Actor/Name/PowerVisual,동력 시각효과 /// PowerVisual=346
Actor/Name/PreSelection,사전 선택 /// PreSelection=347
Actor/Name/PreservedDoodad,보존된 장식물 /// Preserved Doodad=348
Actor/Name/PreviewerCamera,미리 보기 카메라 /// Previewer Camera=349
Actor/Name/PreviewerModel,미리 보기 모델 /// PreviewerModel=350
Actor/Name/PreviewerSound,미리 보기 소리 /// Previewer Sound=351
Actor/Name/PreviewerText,미리 보기 텍스트 /// Previewer Text=352
Actor/Name/ProgressSound,진행 소리 /// ProgressSound=353
Actor/Name/PropertyCurveSet,속성 곡선 모음 /// Property Curve Set=354
Actor/Name/RangeAbil,범위 능력 /// Range Abil=355
Actor/Name/RangeAbilHover,RangeAbilHover=356
Actor/Name/RangeBehavior,범위 동작 /// Range Behavior=357
Actor/Name/RangeSight,범위 시계 /// Range Sight=358
Actor/Name/RangeWeapon,범위 무기 /// Range Weapon=359
Actor/Name/RangedAttackDeathForce,원거리 공격 소멸 힘 /// Ranged Attack Death Force=360
Actor/Name/RangedAttackDeathImpulse,원거리 공격 소멸 자극 /// Ranged Attack Death Impulse=361
Actor/Name/RemoveFlyerHelperMacro,비행체 지상 위치 표시 매크로 제거 /// Remove Flyer Helper Macro=362
Actor/Name/SOp180,자리 연산 180 /// SOp180=363
Actor/Name/SOp270,자리 연산 270 /// SOp270=364
Actor/Name/SOp2DRotation,자리 연산 2D 회전 /// SOp2DRotation=365
Actor/Name/SOp90,자리 연산 90 /// SOp90=366
Actor/Name/SOpActionCenter,자리 연산 행동 중앙 /// SOpActionCenter=367
Actor/Name/SOpActionImpact,자리 연산 행동 충격 /// SOpActionImpact=368
Actor/Name/SOpActionLaunch,자리 연산 행동 발사 /// SOpActionLaunch=369
Actor/Name/SOpAttachCenter,자리 연산 부착 중앙 /// SOpAttachCenter=370
Actor/Name/SOpAttachCenterSoft,자리 연산 부착 부드러움=371
Actor/Name/SOpAttachCenterStationary,자리 연산 중앙 정지 /// SOpAttachCenterStationary=372
Actor/Name/SOpAttachCustomA,자리 연산 부착 사용자 지정 A /// SOpAttachCustomA=373
Actor/Name/SOpAttachDamage,자리 연산 부착 피해 /// SOp Attach Damage=374
Actor/Name/SOpAttachHardPoint,자리 연산 부착 장착점 /// SOpAttachHardPoint=375
Actor/Name/SOpAttachHardPoint01,자리 연산 부착 장착점 01 /// SOpAttachHardPoint01=376
Actor/Name/SOpAttachHardPoint02,자리 연산 부착 장착점 02 /// SOpAttachHardPoint02=377
Actor/Name/SOpAttachHardPoint03,자리 연산 부착 장착점 03 /// SOpAttachHardPoint03=378
Actor/Name/SOpAttachHardPoint04,자리 연산 부착 장착점 04 /// SOpAttachHardPoint04=379
Actor/Name/SOpAttachHarness,자리 연산 부착 하네스 /// SOpAttachHarness=380
Actor/Name/SOpAttachHarnessSoft,자리 연산 부착 하네스 부드러움 /// SOpAttachHarnessSoft=381
Actor/Name/SOpAttachHarnessStationary,자리 연산 부착 하네스 정지 /// SOpAttachHarnessStationary=382
Actor/Name/SOpAttachHead,자리 연산 부착 머리 /// SOpAttachHead=383
Actor/Name/SOpAttachHeadSound,자리 연산 부착 머리 소리 /// SOpAttachHeadSound=384
Actor/Name/SOpAttachInternalDetonation,자리 연산 부착 내부 폭파 /// SOp Attach Internal Detonation=385
Actor/Name/SOpAttachOrigin,자리 연산 부착 원점 /// SOpAttachOrigin=386
Actor/Name/SOpAttachOriginHoldPosition,자리 연산 부착 원점 위치 사수 /// SOpAttachOriginHoldPosition=387
Actor/Name/SOpAttachOriginStationary,자리 연산 부착 원점 정지 /// SOpAttachOriginStationary=388
Actor/Name/SOpAttachOverhead,자리 연산 부착 머리 위 /// SOpAttachOverhead=389
Actor/Name/SOpAttachRandomDamage,자리 연산 부착 무작위 피해 /// SOpAttachRandomDamage=390
Actor/Name/SOpAttachRandomWeapon,자리 연산 부착 무작위 무기 /// SOpAttachRandomWeapon=391
Actor/Name/SOpAttachRollingWeaponStripe,자리 연산 부착 회전 무기 줄무늬 /// SOpAttachRollingWeaponStripe=392
Actor/Name/SOpAttachShield,자리 연산 부착 보호막 /// SOpAttachShield=393
Actor/Name/SOpAttachTarget,자리 연산 부착 대상 /// SOpAttachTarget=394
Actor/Name/SOpAttachTarget1,자리 연산 부착 대상 1 /// SOpAttachTarget1=395
Actor/Name/SOpAttachTarget2,자리 연산 부착 대상 2 /// SOpAttachTarget2=396
Actor/Name/SOpAttachTarget3,자리 연산 부착 대상 3 /// SOpAttachTarget3=397
Actor/Name/SOpAttachTarget4,자리 연산 부착 대상 4 /// SOpAttachTarget4=398
Actor/Name/SOpAttachTargetSoft,자리 연산 부착 대상 부드러움 /// SOp Attach Target Soft=399
Actor/Name/SOpAttachTurret,자리 연산 부착 포탑 /// SOpAttachTurret=400
Actor/Name/SOpAttachVolumeNoVizEnhance,자리 연산 부착 음량 시각 효과 향상 없음 /// SOpAttachVolumeNoVizEnhance=401
Actor/Name/SOpAttachVolumeStandard,자리 연산 부착 음량 표준 /// SOpAttachVolumeStandard=402
Actor/Name/SOpAttachWeapon,자리 연산 부착 무기 /// SOpAttachWeapon=403
Actor/Name/SOpAttachWeapon00,자리 연산 부착 무기 00 /// SOpAttachWeapon00=404
Actor/Name/SOpAttachWeapon01,자리 연산 부착 무기 01 /// SOpAttachWeapon01=405
Actor/Name/SOpAttachWeapon01Soft,자리 연산 부착 무기 01 부드러움 /// SOpAttachWeapon01Soft=406
Actor/Name/SOpAttachWeapon02,자리 연산 부착 무기 02 /// SOpAttachWeapon02=407
Actor/Name/SOpAttachWeapon03,자리 연산 부착 무기 03 /// SOpAttachWeapon03=408
Actor/Name/SOpAttachWeapon04,자리 연산 부착 무기 04 /// SOpAttachWeapon04=409
Actor/Name/SOpAttachWeapon05,자리 연산 부착 무기 05 /// SOpAttachWeapon05=410
Actor/Name/SOpAttachWeapon06,자리 연산 부착 무기 06 /// SOpAttachWeapon06=411
Actor/Name/SOpAttachWeapon07,자리 연산 부착 무기 07 /// SOpAttachWeapon07=412
Actor/Name/SOpAttachWeapon08,자리 연산 부착 무기 08 /// SOpAttachWeapon08=413
Actor/Name/SOpAttachWeapon09,자리 연산 부착 무기 09 /// SOpAttachWeapon09=414
Actor/Name/SOpAttachWeapon10,자리 연산 부착 무기 10 /// SOpAttachWeapon10=415
Actor/Name/SOpAttachWeapon11,자리 연산 부착 무기 11 /// SOpAttachWeapon11=416
Actor/Name/SOpAttachWeapon12,자리 연산 부착 무기 12 /// SOpAttachWeapon12=417
Actor/Name/SOpAttachWeapon14,자리 연산 부착 무기 14 /// SOpAttachWeapon14=418
Actor/Name/SOpAttachWeapon21,자리 연산 부착 무기 21 /// SOpAttachWeapon21=419
Actor/Name/SOpAttachWeapon24,자리 연산 부착 무기 24 /// SOpAttachWeapon24=420
Actor/Name/SOpAttachWeaponLeft,자리 연산 부착 무기 왼쪽 /// SOpAttachWeaponLeft=421
Actor/Name/SOpAttachWeaponRight,자리 연산 부착 무기 오른쪽 /// SOpAttachWeaponRight=422
Actor/Name/SOpAttachWeaponSoft,자리 연산 부착 무기 부드러움 /// SOp Attach Weapon Soft=423
Actor/Name/SOpBanker,자리 연산 경사 장치 /// SOpBanker=424
Actor/Name/SOpBankerBuilding,자리 연산 경사 장치 건물 /// SOpBankerBuilding=425
Actor/Name/SOpBankerUnit,자리 연산 경사 장치 유닛 /// SOpBankerUnit=426
Actor/Name/SOpBankerUnitBuilding,자리 연산 경사 장치 유닛 건물 /// SOpBankerUnitBuilding=427
Actor/Name/SOpBasicActorPositionFollow,자리 연산 기본 행위자 위치 따르기 /// SOpBasicActorPositionFollow=428
Actor/Name/SOpBasicCreatorFollow,자리 연산 기본 생성자 따르기 /// SOpBasicCreatorFollow=429
Actor/Name/SOpBasicCreatorPositionFollow,자리 연산 기본 생성자 위치 따르기 /// SOpBasicCreatorPositionFollow=430
Actor/Name/SOpBasicCreatorStationary,자리 연산 기본 생성자 정지 /// SOpBasicCreatorStationary=431
Actor/Name/SOpBasicInitialBearings,자리 연산 기본 최초 방위 /// SOpBasicInitialBearings=432
Actor/Name/SOpBasicScopeFollow,자리 연산 기본 범위 따르기 /// SOpBasicScopeFollow=433
Actor/Name/SOpBasicScopePositionFollowHoldRotation,자리 연산 기본 범위 위치 따르기 회전 대기 /// SOpBasicScopePositionFollowHoldRotation=434
Actor/Name/SOpBasicScopeStationary,자리 연산 기본 범위 정지 /// SOpBasicScopeStationary=435
Actor/Name/SOpCasterPoint,자리 연산 시전자 지점 /// SOpCasterPoint=436
Actor/Name/SOpCasterUnitZ,SOpCasterUnitZ=437
Actor/Name/SOpDeathMotionFlier,자리 연산 소멸 움직임 비행체 /// SOpDeathMotionFlier=438
Actor/Name/SOpDeathMotionGround,자리 연산 소멸 움직임 지상 /// SOpDeathMotionGround=439
Actor/Name/SOpForwardCasterCenter,자리 연산 앞으로 시전자 중앙 /// SOpForwardCasterCenter=440
Actor/Name/SOpForwardCasterCenterInverted,자리 연산 앞으로 시전자 중앙 반전 /// SOp Forward Caster Center Inverted=441
Actor/Name/SOpForwardCasterPoint,자리 연산 앞으로 시전자 지점 /// SOpForwardCasterPoint=442
Actor/Name/SOpForwardCasterPointInverted,자리 연산 앞으로 시전자 지점 반전 /// SOpForwardCasterPointInverted=443
Actor/Name/SOpForwardDefault,자리 연산 앞으로 기본 /// SOpForwardDefault=444
Actor/Name/SOpForwardEast,자리 연산 앞으로 동쪽 /// SOpForwardEast=445
Actor/Name/SOpForwardImpactGuide,자리 연산 앞으로 충격 길잡이 /// SOpForwardImpactGuide=446
Actor/Name/SOpForwardLaunchGuide,자리 연산 앞으로 발사 길잡이 /// SOpForwardLaunchGuide=447
Actor/Name/SOpForwardLaunchGuideDamage,자리 연산 앞으로 발사 길잡이 피해 /// SOpForwardLaunchGuideDamage=448
Actor/Name/SOpForwardLaunchGuideInverted,자리 연산 앞으로 발사 길잡이 반전 /// SOpForwardLaunchGuideInverted=449
Actor/Name/SOpForwardLaunchGuideStationary,자리 연산 앞으로 발사 길잡이 정지 /// SOpForwardLaunchGuideStationary=450
Actor/Name/SOpForwardNorth,자리 연산 앞으로 북쪽 /// SOpForwardNorth=451
Actor/Name/SOpForwardPointsUp,자리 연산 앞으로 지점 위로 /// SOpForwardPointsUp=452
Actor/Name/SOpForwardQueryCaster,자리 연산 앞으로 질의 시전자 /// SOpForwardQueryCaster=453
Actor/Name/SOpForwardSourcePoint,자리 연산 앞으로 출처 지점 /// SOpForwardSourcePoint=454
Actor/Name/SOpForwardTargetPoint,자리 연산 앞으로 대상 지점 /// SOpForwardTargetPoint=455
Actor/Name/SOpForwardTargetPointInverted,자리 연산 앞으로 대상 지점 반전 /// SOpForwardTargetPointInverted=456
Actor/Name/SOpForwardTargetUnit,자리 연산 앞으로 대상 유닛 /// SOp Forward Target Unit=457
Actor/Name/SOpForwardWeapon,자리 연산 앞으로 무기 /// SOpForwardWeapon=458
Actor/Name/SOpForwardWest,지리 연산 앞으로 서쪽 /// SOpForwardWest=459
Actor/Name/SOpHeightLaunch,자리 연산 높이 발사 /// SOpHeightLaunch=460
Actor/Name/SOpHigherBy3,자리 연산 3만큼 더 높게 /// SOpHigherBy3=461
Actor/Name/SOpHigherBy5,자리 연산 5만큼 더 높게 /// SOpHigherBy5=462
Actor/Name/SOpHigherOfTerrainAndWater,자리 연산 물과 지형 중 높은 쪽 /// SOpHigherOfTerrainAndWater=463
Actor/Name/SOpHostCasterOverhead,자리 연산 호스트 시전자 머리 위 /// SOpHostCasterOverhead=464
Actor/Name/SOpHostMissile,자리 연산 호스트 미사일 /// SOpHostMissile=465
Actor/Name/SOpIncomingDirect,자리 연산 들어옴 직접 /// SOpIncomingDirect=466
Actor/Name/SOpIncomingDirect1,자리 연산 들어옴 직접 1 /// SOp Incoming Direct1=467
Actor/Name/SOpIncomingDirect1Dot5,자리 연산 들어옴 직접 1.5=468
Actor/Name/SOpIncomingDirectDot15,자리 연산 들어옴 직접 .15 /// SOp Incoming Direct Dot 15=469
Actor/Name/SOpIncomingDirectDot25,자리 연산 들어옴 직접 .25 /// SOpIncomingDirectDot25=470
Actor/Name/SOpIncomingMissile,자리 연산 들어옴 미사일 /// SOpIncomingMissile=471
Actor/Name/SOpIncomingMissileDot1,자리 연산 들어옴 미사일 .1 /// SOp Incoming Missile Dot1=472
Actor/Name/SOpIncomingMissileDot25,자리 연산 들어옴 미사일 .25 /// SOpIncomingMissileDot25=473
Actor/Name/SOpIncomingMissileDot5,자리 연산 들어옴 미사일 .5 /// SOp Incoming Missile Dot5=474
Actor/Name/SOpIncomingMissileDot75,자리 연산 들어옴 미사일 .75 /// SOp Incoming Missile Dot75=475
Actor/Name/SOpLocalOffsetHarness,자리 연산 지역 오프셋 하네스 /// SOpLocalOffsetHarness=476
Actor/Name/SOpMissile,자리 연산 미사일 /// SOpMissile=477
Actor/Name/SOpMotionDirection,자리 연산 움직임 방향 /// SOpMotionDirection=478
Actor/Name/SOpMotionDirectionWeaponLeft,자리 연산 움직임 방향 무기 왼쪽 /// SOpMotionDirectionWeaponLeft=479
Actor/Name/SOpMotionDirectionWeaponRight,자리 연산 움직임 방향 무기 오른쪽 /// SOpMotionDirectionWeaponRight=480
Actor/Name/SOpMoveBackBy1,자리 연산 뒤로 1만큼 /// SOpMoveBackBy1=481
Actor/Name/SOpMoveBackBy2,자리 연산 뒤로 2만큼 /// SOpMoveBackBy2=482
Actor/Name/SOpMoveBy1,자리 연산 이동 1만큼 /// SOpMoveBy1=483
Actor/Name/SOpMoveBy1Dot5,자리 연산 이동 1.5만큼 /// SOpMoveBy1Dot5=484
Actor/Name/SOpMoveBy2,자리 연산 이동 2만큼 /// SOpMoveBy2=485
Actor/Name/SOpMoveBy3,자리 연산 이동 3만큼 /// SOp Move By3=486
Actor/Name/SOpMoveBy3Dot5,SOp 3 이동 지속 피해 5 /// SOp Move By 3Dot5=487
Actor/Name/SOpMoveBy4,자리 연산 이동 4만큼 /// SOp Move By 4=488
Actor/Name/SOpMoveBy5Dot5,SOp 5 이동 지속 피해 5 /// SOp Move By 5Dot5=489
Actor/Name/SOpMoveBy7,자리 연산 이동 7만큼 /// SOp Move By7=490
Actor/Name/SOpMoveByDot05,자리 연산 이동 .05만큼 /// SOp Move By Dot 05=491
Actor/Name/SOpMoveByDot1,자리 연산 이동 .1만큼 /// SOpMoveByDot1=492
Actor/Name/SOpMoveByDot15,자리 연산 이동 .15만큼 /// SOp Move By Dot 15=493
Actor/Name/SOpMoveByDot15ToDot5,자리 연산 이동 .15에서 .5만큼 /// SOp Move By Dot 15 To Dot 5=494
Actor/Name/SOpMoveByDot25,자리 연산 이동 .25만큼 /// SOpMoveByDot25=495
Actor/Name/SOpMoveByDot3,자리 연산 이동 .3만큼 /// SOp Move By Dot 3=496
Actor/Name/SOpMoveByDot5,자리 연산 이동 .5만큼 /// SOpMoveByDot5=497
Actor/Name/SOpMoveByDot5To1,자리 연산 이동 .5에서 1만큼 /// SOp Move By Dot 5 To 1=498
Actor/Name/SOpMoveByDot75,자리 연산 이동 .75만큼 /// SOp Move By Dot75=499
Actor/Name/SOpMoveDownBy1,자리 연산 아래로 1만큼 /// SOp Move Down By1=500
Actor/Name/SOpMoveDownBy2,자리 연산 아래로 2만큼 /// SOp Move Down By2=501
Actor/Name/SOpMoveDownByDot1,자리 연산 아래로 .1만큼 /// SOp Move Down By Dot1=502
Actor/Name/SOpMoveDownByDot15,자리 연산 아래로 .15만큼 /// SOp Move Down By Dot 15=503
Actor/Name/SOpMoveDownByDot15ToDot25,자리 연산 아래로 .15에서 .25만큼 /// SOp Move Down By Dot 15 To Dot 25=504
Actor/Name/SOpMoveDownByDot25,자리 연산 아래로 .25만큼 /// SOp Move Down By Dot25=505
Actor/Name/SOpMoveDownByDot25ToDot75,자리 연산 아래로 .25에서 .75만큼 /// SOp Move Down By Dot 25 To Dot 75=506
Actor/Name/SOpMoveDownByDot35,자리 연산 아래로 .35만큼 /// SOp Move Down By Dot 35=507
Actor/Name/SOpMoveDownByDot5,자리 연산 이동 아래로 .5만큼 /// SOpMoveDownByDot5=508
Actor/Name/SOpMoveDownByDot75,자리 연산 이동 아래로 .75만큼 /// SOp Move Down By Dot75=509
Actor/Name/SOpMoveUpBy1,자리 연산 이동 위로 1만큼 /// SOpMoveUpBy1=510
Actor/Name/SOpMoveUpBy2,자리 연산 이동 위로 2만큼 /// SOp Move Up By2=511
Actor/Name/SOpMoveUpBy3,자리 연산 이동 위로 3만큼 /// SOp Move Up By 3=512
Actor/Name/SOpMoveUpBy4,자리 연산 이동 위로 4만큼 /// SOp Move Up By4=513
Actor/Name/SOpMoveUpBy6,자리 연산 이동 위로 6만큼 /// SOp Move Up By6=514
Actor/Name/SOpMoveUpBy7,자리 연산 이동 위로 7만큼 /// SOp Move Up By7=515
Actor/Name/SOpMoveUpBy9,자리 연산 이동 위로 9만큼 /// SOp Move Up By9=516
Actor/Name/SOpMoveUpByDot1,자리 연산 이동 위로 .1만큼 /// SOp Move Up By Dot1=517
Actor/Name/SOpMoveUpByDot15,자리 연산 이동 위로 .15만큼 /// SOp Move Up By Dot15=518
Actor/Name/SOpMoveUpByDot25,자리 연산 이동 위로 .25만큼 /// SOp Move Up By Dot25=519
Actor/Name/SOpMoveUpByDot5,자리 연산 이동 위로 .5만큼 /// SOp Move Up By Dot5=520
Actor/Name/SOpNEU,자리 연산 /// SOp =521
Actor/Name/SOpPatch10,자리 연산 부착 10 /// SOpPatch10=522
Actor/Name/SOpPatch15,자리 연산 부착 15 /// SOpPatch15=523
Actor/Name/SOpPatch35,자리 연산 부착 35 /// SOpPatch35=524
