AUTHENTICATION_BETA_REGION,베타 /// Beta=0
ActorDebug/HostSetSiteOpsDoesNotSupportLiveHardAttaches,호스트 자리 연산 설정' 메시지가 현재 강제 부착된 행위자에서 자리 연산 설정을 하지 못합니다. 부드러운 부착을 대신 사용하십시오. 원인: %1.=247
ActorDebug/HoverTarget,부양 대상=248
ActorDebug/ImpactArrivedBeforeAction,데이터 구성 오류: %1 개시 전에 '행동 충격' 메시지가 도착했습니다.=249
ActorDebug/ImpactMonitorCouldNotFindTAV,충격 모니터를 완전히 초기화할 수 없습니다. 대상 %2의 부착 ID[%1]에서 대상 부착 부피(TAV)를 찾을 수 없습니다. 대상 모델의 다른 부착 지점에 TAV가 있습니다. 이 오류를 해결하려면, 공격이 대상의 TAV를 성공적으로 찾을 수 있도록 구성하거나, 공격이 TAV를 사용할 필요가 없다면 '기본 행위자 자리 연산 부착 부피'를 사용하지 마십시오.=250
ActorDebug/ImpactPhysicsArrivedBeforeAction,데이터 구성 오류; %1 개시 전에 '행동 충격 물리' 메시지가 도착했습니다.=251
ActorDebug/ImpactSourceMustBeCActorAction,충격 소스 %1(은)는 반드시 기본 행위자 행동 유형의 행위자여야 합니다.=252
ActorDebug/InitialBearings,초기=253
ActorDebug/InnateTextureClash,메시지 %1; 모델 링크[%2] 모델 %3; 고유 텍스처 %4(이)가 슬롯[%5]에 매핑되고 있습니다. 이 텍스처는 이미 고유 텍스처 %6에 지정되어 있습니다. 동시에 다른 두 개의 텍스처를 같은 슬롯에 매핑할 수 없습니다.=254
ActorDebug/InvalidAttachMethod,부착 방법 %1(이)가 유효하지 않습니다. %2=255
ActorDebug/InvalidAttachMethodUnavailable,%1의 부착 방법이 유효하지 않습니다. [사용할 수 없음]=256
ActorDebug/InvalidBlendDuration,이 연산은 혼합 지속 시간 > 00 조건을 만족해야 의미가 있습니다.=257
ActorDebug/InvalidCreepHeightClassValue,점막 높이 클래스 %1에 유효하지 않은 값이 있습니다. 값은 0보다 적거나 같아야 합니다.=258
ActorDebug/InvalidDeath,기본 행위자 유닛[%1]; 죽음 사용자 지정 데이터 그룹 %2(이)가 존재하지 않는 죽음을 참조합니다.=259
ActorDebug/InvalidEffectParams,유효한 효과 매개 변수와 함께 기본 행위자 행동을 생성해야 합니다.=260
ActorDebug/InvalidLink,유효하지 않은 링크=261
ActorDebug/InvalidModelBounds,=262
ActorDebug/InvalidModelVariation,%1 %2; %3의 변형이 유효하지 않습니다. 모든 변형은 동일한 수의 부착물을 지니고 있어야 합니다.=263
ActorDebug/InvalidPortraitActor,초상화 행위자가 유효하지 않습니다. %1=264
ActorDebug/InvalidPortraitActorCustomization,초상화 사용자 지정 메시지: 초상화 행위자 %1(이)가 유효하지 않습니다.=265
ActorDebug/InvalidPortraitCamera,초상화 카메라 %1(이)가 유효하지 않습니다.=266
ActorDebug/InvalidPortraitModel,초상화 모델이 유효하지 않습니다. %1=267
ActorDebug/InvalidPortraitModelCustomization,초상화 사용자 지정 메시지: 초상화 모델 %1(이)가 유효하지 않습니다.=268
ActorDebug/InvalidRequest,유효하지 않은 요청입니다. 주제[%1]=269
ActorDebug/InvalidShieldAttach,유닛 %1의 보호막(e_attachShield) 또는 동적 보호막 부착을 찾을 수 없습니다. (모델: %2)=270
ActorDebug/InvalidShieldRadius,보호막 반경이 유효하지 않습니다. 유닛 %1의 구성 요소가 0인 배율을 가져왔습니다. (모델: %2)=271
ActorDebug/InvalidSiteOp,자리 연산 [%1](이)가 유효하지 않습니다.=272
ActorDebug/InvalidSiteOpHost,호스트[%1] 자리 연산 [%2](이)가 유효하지 않습니다.=273
ActorDebug/InvalidSiteOpLink,자리 연산 링크가 유효하지 않습니다.=274
ActorDebug/LightInvalidModel,기본 행위자 조명의 모델이 유효하지 않습니다. 원인: %1.=275
ActorDebug/LookAtCannotCreateActor,%1; Unable to create look at actor for source %2.=276
ActorDebug/LookAtCouldNotAcquireTarget,Unable to acquire target from source %1.=277
ActorDebug/LookAtDumpTurrets,turrets:=278
ActorDebug/LookAtDumpTurretsNone,-- None --=279
ActorDebug/LookAtDumpTurretsSourced,dumping turrets on source %1:=280
ActorDebug/LookAtInvalidSource,Invalid look at source actor %1.=281
ActorDebug/LookAtInvalidTarget,%1; Invalid look at target actor %2.=282
ActorDebug/LookAtInvalidType,Could not find definition of look at type [%1].=283
ActorDebug/LookAtModelSwapFailure,Could not restore turrets from model %1 to model %2.=284
ActorDebug/LookAtNoAcquireTarget,No target to acquire.  %1 only acquires targets automatically, in response to certain game messages, such as Abil, WeaponStart, and TurretTarget.=285
ActorDebug/LookAtNoActiveTarget,No active target to get bearings from for turret group [%1].=286
ActorDebug/LookAtNoSource,No subject=287
ActorDebug/LookAtNoTurretType,No look at turret type.=288
ActorDebug/LookAtNoType,No look at type.=289
ActorDebug/LookAtUnassignedSource,지정되지 않은 보기 출처입니다.=290
ActorDebug/LookAtUnassignedTarget,지정되지 않은 보기 대상입니다.=291
ActorDebug/MessagePassingStackOverflow,메시지 처리량이 최대치에 이르렀습니다. 이 범위를 벗어나는 메시지는 모두 무시됩니다. 예기치 않은 결과가 일어날 수 있습니다.=292
ActorDebug/MissileDirectCreate,미사일 생성을 시도했으나 공격 의도는 없습니다.=293
ActorDebug/MissingAttachKeyword,Missing attach props on id -- does the MAX file attachment ref name contain values that are not present in the EAttachKeyword enum?=294
ActorDebug/MissingPlayerDecalTexture,텍스처 링크 %1에서 플레이어 문양을 찾을 수 없습니다.=295
ActorDebug/MissingSupersede,행위자 입력 %3, 소멸 데이터 그룹 %2에서 %1의 이름을 지닌 대체할 소멸을 찾을 수 없습니다.=296
ActorDebug/MissingTextureFile,텍스처 파일 %1(을)를 TextureData.xml 입력 %2에서 찾을 수 없습니다.=297
ActorDebug/ModelAspectConfirmInvalid,ModelAspectTest에 대한 응답으로 ModelAspectConfirm 메시지를 보내야 합니다.=298
ActorDebug/ModelDataEventHasInvalidTime,모델 %1; %2(이)가 %3 길이의 애니메이션에 이벤트를 지정합니다.=299
ActorDebug/ModelError,모델 %1; %2=300
ActorDebug/ModelEventSoundIsDeprecated,모델 링크[%1] 모델 %2; 모델로부터 비전송 소리 이벤트 내보내기는 미사용입니다.=301
ActorDebug/ModelEventSpawnIsDeprecated,모델 링크[%1] 모델 %2; 모델 생성 이벤트 보내기는 미사용입니다.=302
ActorDebug/ModelEventSplatIsDeprecated,모델 링크[%1] 모델 %2; 모델 평면 이벤트 보내기는 미사용입니다.=303
ActorDebug/ModelInitFailure,%1(을)를 통해 생성된 모델; 초기화하지 못했습니다.=304
ActorDebug/ModelInvalidHarness,기본 행위자 모델이 아닌 모델 하네스[%1]가 있습니다.=305
ActorDebug/ModelMaterialAlreadyApplied,This CActorModelMaterial has already been applied to the target actor: %1.=306
ActorDebug/ModelMaterialBadApplyOtherMaterial,Cannot apply a model material to another model material.=307
ActorDebug/ModelMaterialBadApplyOtherMaterial2,Cannot apply a model material to another model material, in this case: %1.=308
ActorDebug/ModelMaterialBadApplyRef,Cannot find an actor model referenced by %1 on which to apply the model material.=309
ActorDebug/ModelMaterialBadApplyRef2,Cannot apply a model material to the actor %1 referenced by %2, since it is not a CActorModel.=310
ActorDebug/ModelMaterialBadApplySelf,Cannot apply a model material to itself.=311
ActorDebug/ModelMaterialBadRemoveRef,Cannot find an actor model referenced by %1 from which to remove the model material.=312
ActorDebug/ModelMaterialBadRemoveRef2,Cannot remove a model material from the actor %1 referenced by %2, since it is not a CActorModel.=313
ActorDebug/ModelMaterialCannotFind,Remove failed.  Cannot find CActorModelMaterial[%1].=314
ActorDebug/ModelMaterialCreatedBadType,Invalid to create actor %1 that is not a CActorModelMaterial, in response to ModelMaterialApply message.=315
ActorDebug/ModelMaterialCreationFailure,Could not create CActorModelMaterial[%1].=316
ActorDebug/ModelMaterialNonSingleMaterial,Material model [%1] has more than one material, but only exactly one material is supported.=317
ActorDebug/ModelMaterialNotFound,This CActorModelMaterial is not currently applied to the target actor: %1.=318
ActorDebug/ModelMaterialsNone,No model materials.=319
ActorDebug/ModelMaterialsSetVisibilityUnsupported,Since the model inside a CActorModelMaterial is merely a material provider and not an actual visible object, this actor is always invisible and its standard visibility state cannot be modified.  To hide a material, use the ModelMaterialSetVisibility message.=320
ActorDebug/ModelMaterialsSetVisibilityUselessParams,Model material names are irrelevant on the ModelMaterialSetVisibility message when it is sent directly to a CActorModelMaterial.=321
ActorDebug/ModelRadiusError,모델 %1의 반경 %2(이)가 해당 모델의 넓은 모델 반경 %3보다 큰 반경을 지니고 있습니다. 이로 인해 공간 질의가 정확하지 않을 수 있습니다.=322
ActorDebug/ModelSwapFailed,모델 바꾸기 메시지를 모델 링크 %1(으)로 처리하지 못했습니다.=323
ActorDebug/ModelVariationOnRadiusError,모델 %1의 변형 %2(이)가 지닌 반경이 %3의 반경이며, 해당 모델의 넓은 모델 반경 %4보다 큽니다. 이로 인해 공간 질의가 정확하지 않을 수 있습니다.=324
ActorDebug/ModelVariationRadiusError,모델 %1의 변형 %2(이)가 지닌 반경이 %3의 반경이며, 해당 변형의 넓은 반경 %4보다 큽니다. 이로 인해 공간 질의가 정확하지 않을 수 있습니다.=325
ActorDebug/MoreThanOneUnitActor,동일 유닛 범위 내에 하나 이상의 기본 행위자 유닛이 남아 있습니다. %1 %2=326
ActorDebug/MostRecentEffectScope,가장 최근 효과 범위=327
ActorDebug/MoverMoveNoDest,목표가 없는 이동 장치 이동 메시지를 받았습니다.=328
ActorDebug/NeedActorModel,이 자리 연산을 수행하려면 기본 행위자 모델 또는 기본 행위자 모델의 하위 클래스가 필요합니다.=329
ActorDebug/NeedParameter,매개 변수가 필요합니다. 행위자, 범위, 전역=330
ActorDebug/NeedTypeParameter,기본 유형 매개 변수에 전역 위치 유형이 없는 유효한 전역 위치가 있습니다.=331
ActorDebug/NoAttachPointFound,행위자에서 부착 키 %1의 부착 지점을 찾을 수 없습니다. %2=332
ActorDebug/NoBearingsYet,방위가 아직 없습니다. 초기화 중...=333
ActorDebug/NoPhysicsBodies,모델[%1] m3[%2]에 물리 몸체가 없습니다.=334
ActorDebug/NoPhysicsInstance,모델[%1] m3[%2]에 물리 인스턴스가 없습니다.=335
ActorDebug/NoTriggerMessage,%1 message: No triggering message.=336
ActorDebug/None,<None>=337
ActorDebug/NonexistentMatchSlot,모델 %1. 편집기의 텍스처 일치 여부에 슬롯 %2(이)가 없습니다.=338
ActorDebug/NonexistentMatchSourceSlot,모델 %1. 편집기의 텍스처 일치 여부에 대상 슬롯 %3의 출처 슬롯 %2(이)가 없습니다.=339
ActorDebug/NonexistentSlot,모델 %1. 편집기의 텍스처 표현에 출처 슬롯이 없습니다.=340
ActorDebug/NonuserMessage,비사용자 메시지 전송 시도. %1=341
ActorDebug/OneCActorActionPerEffect,효과 당 하나의 기본 행위자 행동을 생성할 수 있습니다. [%1]=342
ActorDebug/PhysicsBodyList,모델[%1] m3[%2]의 물리 몸체 목록입니다.=343
ActorDebug/PhysicsBodyShape,외형=344
ActorDebug/PhysicsCreationFailureActorPhysicsOff,%1에 물리 효과를 시작할 수 없습니다; 행위자에 의해 생성되는 물리 효과가 꺼져 있습니다. togactorphysics 치트를 사용하면 해당 물리 효과를 다시 켤 수 있습니다.=345
ActorDebug/PhysicsCreationFailureCustomDeath,사용자 지정 소멸=346
ActorDebug/PhysicsCreationFailureDeathCustomsPhysicsOff,%1의 물리 효과를 초기화할 수 없습니다; 이 행위자 모델에 의해 생성된 물리 효과가 꺼졌습니다. DeathCustomsEnablePhysics 메시지를 사용하면 해당 물리 효과를 다시 사용할 수 있습니다.=347
ActorDebug/PhysicsCreationFailureInvalidPhysicsModelLink,%1의 물리 효과를 초기화할 수 없습니다; 모델 링크가 유효하지 않아 여기에 물리 효과를 생성할 수 없습니다.=348
ActorDebug/PhysicsCreationFailureLowQualityModelsOptionActive,%1의 물리 효과를 초기화할 수 없습니다; 낮은 품질 모델 그래픽 설정 때문에 물리 효과 소멸을 발동할 수 없습니다.=349
ActorDebug/PhysicsCreationFailureMaxComplexRagdollCount,%1의 물리 효과를 초기화할 수 없습니다; 복합 물리인형 개수가 최대치에 도달했습니다. (%2)=350
ActorDebug/PhysicsCreationFailureMaxRigidBodyCount,%1의 물리 효과를 초기화할 수 없습니다; 경직된 몸통 개수가 최대치에 도달했습니다. (%2)=351
ActorDebug/PhysicsCreationFailureModel,모델 링크=352
ActorDebug/PhysicsCreationFailureNonLocalModel,Cannot initialize physics on %1; Model is not local.=353
ActorDebug/PhysicsCreationFailureRagdollsDisabled,%1의 물리 효과를 초기화할 수 없습니다; 모델 품질 그래픽 설정에서 복합 물리인형(관절 보유)이 사용 안 함으로 설정되어 있습니다.=354
ActorDebug/PhysicsCreationFailureTeenEnabled,%1의 물리 효과를 초기화할 수 없습니다; 게임 내 표현 효과 조절 설정이 사용함으로 설정되어 있습니다.=355
ActorDebug/PhysicsDensity,밀도=356
ActorDebug/PhysicsFriction,마찰=357
ActorDebug/PhysicsImpactAutoVolumeBadRange,최대 자동 음량 범위는 최소 자동 음량 범위보다 커야 합니다.=358
ActorDebug/PhysicsInitFailureSpyOff,물리 효과 초기화 실패 감시를 껐습니다.=359
ActorDebug/PhysicsInitFailureSpyOn,물리 효과 초기화 실패 감시를 켰습니다.=360
ActorDebug/PhysicsMatchKeysOrdered,지시된 물리 일치 키 [%1]=361
ActorDebug/PhysicsMatchMaterialCannotBeOverridden,물리 재료 %1(을)를 지닌 지형을 지점 %2에 덮어쓸 수 없습니다.=362
ActorDebug/PhysicsMatchMaterialCannotBeRestored,지점 %2에서 복원할 물리 재료 [%1](을)를 찾을 수 없습니다.=363
ActorDebug/PhysicsMaterial,물리 재료=364
ActorDebug/PhysicsRestitution,복원=365
ActorDebug/PhysicsShapeCapsule,캡슐=366
ActorDebug/PhysicsShapeMesh,그물망=367
ActorDebug/PhysicsShapePolytope,다면체=368
ActorDebug/PhysicsShapeSphere,구=369
ActorDebug/PhysicsShapeTriangle,삼각형=370
ActorDebug/PhysicsShapeUnknown,알 수 없음=371
ActorDebug/PlayingMoviesRestrictedToBlizzardMaps,현재 블리자드 지도에서 동영상 재생이 제한되어 있습니다.=372
ActorDebug/PortraitCustomizationMissingModel,초상화 사용자 지정 메시지: 초상화 모델이 없습니다.=373
ActorDebug/PredictionTurningToggleStateOff,Predictive turning spy OFF.=374
ActorDebug/PredictionTurningToggleStateOn,Predictive turning spy ON.=375
ActorDebug/PropertyCurveCannotAddPointsAfterReady,그리기 시작한 곡선에 지점을 추가할 수 없습니다. 원인:%1.=376
ActorDebug/PropertyCurveCannotFindCurve,곡선 %1(을)를 찾을 수 없습니다. 원인:%2.=377
ActorDebug/PropertyCurveNotEnoughDataToStart,곡선 %1(이)가 가지는 지점이 모든 구성 요소에서 2개 이상이 되어야 합니다. 구성 요소 %2(이)가 원인입니다.=378
ActorDebug/PropertyCurvePointsMustAdvance,추가 지점의 시간이 증가하는 시간이어야 합니다. 원인:%1.=379
ActorDebug/PropertyCurveUnsupportedComponent,곡선 %1(이)가 구성 요소 %2(을)를 지원하지 않습니다. 원인: %3.=380
ActorDebug/QuadInvalid,쿼드가 유효하지 않습니다.=381
ActorDebug/ReceivedInvalidMessage,유효하지 않은 메시지를 받았습니다. %1=382
ActorDebug/RegionInvalidSize,구역의 크기가 유효하지 않습니다.=383
ActorDebug/RegionNoPoints,구역에 지점이 없습니다.=384
ActorDebug/RequestingUnknownActor,알 수 없는 값으로 행위자 요청을 시도합니다. 요청자: %1=385
ActorDebug/RequestorBadScope,Must use Implicit/Caster/Target Scope keywords when requestor was not created by an effect. Requestor: %1=386
ActorDebug/RequestorNeedsEffect,요청자가 효과로 생성되었을 때만 효과 요청을 사용할 수 있습니다. 요청자: 요청자: %1=387
ActorDebug/RequestorNeedsSpecificType,특정 세부 범위 유형 없이 특정 효과에 행위자를 생성할 수 없습니다. 요청자: %1=388
